R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3pm,PTS,TREB,AST,STL,BLK,TO,TOTAL
36,38.2,Jrue Holiday,"PG,SG",MIL,67,32.4,0.483(7.1/14.7),0.808(2.2/2.7),2.2,18.6,4.8,7.1,1.4,0.4,2.8,5.29
37,10.1,Giannis Antetokounmpo,"PF,C",MIL,65,32,0.553(10.7/19.3),0.683(8.0/11.8),0.9,30.3,11.6,5.7,0.9,1,3.6,5.08
38,52.8,Zach LaVine,"SG,SF",CHI,74,35.6,0.481(8.7/18.2),0.850(4.8/5.7),2.8,25,4.6,4.5,0.8,0.3,2.6,5.02
39,41.9,Walker Kessler,C,UTA,74,29.6,0.719(5.2/7.3),0.516(1.4/2.8),0,11.9,10.9,1.2,0.5,2.9,1,4.98
40,40.9,Jaylen Brown,"SG,SF",BOS,69,35.6,0.494(10.0/20.2),0.769(3.9/5.1),2.6,26.4,6.7,3.6,1.1,0.3,2.9,4.97
41,32.2,Jalen Brunson,PG,NY,72,34.9,0.492(9.0/18.3),0.832(4.2/5.0),2,24.2,3.7,6.5,1,0.2,2.2,4.75
42,40.7,De'Aaron Fox,PG,SAC,70,33.5,0.496(9.4/18.9),0.774(4.7/6.1),1.6,25.1,4.2,6.1,1.2,0.4,2.7,4.36
43,43.4,Jamal Murray,"PG,SG",DEN,70,33.3,0.466(7.8/16.6),0.833(2.8/3.4),2.7,21,4.1,6.3,1,0.3,2.3,4.35
44,45.2,Evan Mobley,"PF,C",CLE,76,34.6,0.551(7.1/12.9),0.682(2.7/4.0),0.3,17.2,9.3,2.9,0.9,1.7,1.9,4.25
45,30.1,Victor Wembanyama,"PF,C",SA,65,30,0.454(6.4/14.0),0.779(3.6/4.6),1,17.3,8.2,1.8,0.7,2.3,1.8,4.23
46,43.7,Cade Cunningham,"PG,SG",DET,65,33.8,0.421(7.8/18.6),0.836(3.1/3.7),1.7,20.5,6.4,6.5,1.3,0.7,3.2,4.22
47,70.1,Zion Williamson,"PF,C",NO,52,33.1,0.608(9.6/15.9),0.714(6.0/8.4),0.2,25.5,6.8,4.5,1.1,0.5,3.4,4.18
48,35.7,Nikola Vucevic,C,CHI,74,33,0.490(7.2/14.8),0.806(1.5/1.8),1.5,17.4,11,3.2,0.7,0.7,1.8,4.14
49,57.8,Tyrese Maxey,"PG,SG",PHI,70,34,0.485(7.4/15.3),0.855(3.1/3.6),2.9,20.7,3.2,4.3,0.8,0.3,1.3,3.93
50,53.5,Jordan Poole,"PG,SG",WAS,78,33.5,0.439(7.3/16.7),0.891(4.3/4.9),3,22,3.5,4.8,0.9,0.3,3.1,3.93
51,57.5,Brook Lopez,C,MIL,72,29.7,0.517(5.5/10.7),0.794(1.7/2.1),1.6,14.3,5.9,1.1,0.5,2.2,1.2,3.9
52,94.4,Robert Williams III,C,BOS,61,26.4,0.740(4.0/5.5),0.684(0.9/1.3),0,9,8.9,1.7,0.8,1.6,1,3.87
53,50.8,Brandon Ingram,"SG,SF,PF",NO,60,34.2,0.472(8.4/17.8),0.852(5.0/5.8),1.4,23.1,5.5,5.6,0.7,0.4,2.9,3.77
54,59.5,Jarrett Allen,C,CLE,68,32.5,0.659(5.8/8.8),0.719(2.5/3.4),0,14.1,9.7,1.5,0.7,1.2,1.4,3.67
55,42.6,Chet Holmgren,"PF,C",OKC,64,29.7,0.480(5.0/10.4),0.752(3.0/4.0),1.3,14.3,9.2,1.6,0.5,2,1.2,3.63
56,87.4,Khris Middleton,"SF,PF",MIL,65,31,0.440(6.5/14.7),0.891(3.6/4.1),2.2,18.8,5.1,5.4,1,0.2,2.7,3.61
57,75.4,Ja Morant,PG,MEM,48,32.1,0.474(9.6/20.2),0.754(5.8/7.7),1.5,26.5,5.8,7.1,1.1,0.3,3.4,3.59
58,30.6,Pascal Siakam,"PF,C",TOR,70,35.4,0.478(8.2/17.2),0.763(4.5/5.8),1.2,22.1,7.8,5.3,1,0.5,2.4,3.56
